interruptores,pulsadores,tomadas,total,ibc,desemprego,imobiliario,comercial,residencial,material_eletrico,pib,variacao_pib,consumo,ICST-A,ICST-R,geracaoGWh,IndEletronica,IndEletrica,IndEletronica+Eletrica,IndGeral
4390475,116645,8151080,12658200,-5.21,10.9,28024393124.16,21631561377.8,558914785834.17,7.9,516985.9,5.2899350463542945,39444914.24,67.9,67.1,48309.280414999994,35.6,39.4,37.576,37.4
3898762,84899,7406020,11389681,-5.3,11.2,28335129044.49,21747013686.7,559380935458.91,6.7,508058.7,-1.726778235151096,40269420.080000006,67.2,66.9,46816.8351482533,35.0,38.8,36.976,37.0
3825675,84461,7113903,11024039,-5.26,11.2,28594190602.23,22256993163.66,561997675323.14,8.0,513267.5,1.025235863493724,38648672.57999999,69.2,68.8,44109.8474974,43.2,39.4,41.224000000000004,41.4
4541593,109675,8375692,13026960,-5.33,11.3,28883853555.62,25892938168.87,562454810115.39,10.1,536459.3,4.5184625950406065,37550409.230000004,68.5,68.9,42442.678047999994,47.2,44.5,45.796,45.8
4198103,90431,7709835,11998369,-5.36,11.6,29165904670.48,26103079898.07,566172414565.5,8.3,532947.8,-0.6545696942899488,37255240.92,70.1,70.6,43377.49340688879,49.3,46.7,47.948,47.4
4864286,108946,8754379,13727611,-5.11,11.8,29474160694.95,25677218977.56,570643572663.33,7.9,534761.8,0.3403710457196746,37693934.25,72.6,72.9,44395.738752,54.0,49.2,51.504000000000005,51.7
4493709,101431,8146357,12741497,-4.81,11.8,29714517806.16,25705797132.74,574196703456.2,11.8,509975.0,-4.635110436085757,38345059.93,73.3,74.3,43304.5533763333,55.3,49.0,52.024,53.9
4059839,92092,7528302,11680233,-4.72,11.8,29970018681.17,26173890159.97,570174549872.68,7.2,525162.7,2.978126378744047,38197842.24,72.8,74.4,44945.08182313019,55.0,51.2,53.024,52.5
4819699,99488,8833870,13753057,-4.42,11.8,30021021068.39,26199567448.2,573897792207.02,7.1,541530.7,3.116748390546397,38754249.059999995,71.3,72.9,44055.66711750001,54.7,49.4,51.944,51.9
4893700,101018,8821391,13816109,-4.09,12.0,30484795158.57,26152312338.19,578849953769.04,6.8,565780.5,4.478010203299656,38780794.980000004,70.7,71.7,46217.6516690608,50.1,46.8,48.384,48.0
5406960,103074,10335989,15846023,-3.47,12.6,30611386705.88,26087173844.68,580624894541.58,9.2,526564.7,-6.931274584401556,39369163.58,75.6,73.9,49707.75248139009,52.0,48.6,50.232,50.3
6005339,109009,10275818,16390166,-3.22,13.2,30927448569.27,26111138825.15,583726220088.71,4.8,514120.5,-2.363280333831712,38836387.49,75.3,73.9,46091.205192158486,57.3,52.7,54.908,53.3
6274846,127430,11906939,18309215,-2.59,13.7,31358982702.93,25901144579.95,585330775090.43,9.4,544312.9,5.872631027161924,40545594.160000004,75.5,74.7,50190.393528,56.3,55.3,55.78,54.0
4490548,90741,8609118,13190407,-2.36,13.6,31580483102.18,25841137399.7,587835715823.4,7.0,525238.1,-3.5043813953334646,39430431.29,76.4,76.2,44760.60971,53.0,54.6,53.832,53.3
5433490,109876,10004523,15547889,-1.85,13.3,31846537208.66,27255199471.51,588416756912.74,6.0,548887.7,4.502643658180924,38154686.32,74.6,74.1,45263.13363990001,54.5,55.2,54.864000000000004,53.7
6126418,128365,11465361,17720144,-1.68,13.0,32105261807.64,27081187339.29,591400494338.84,9.2,556787.6,1.4392561538544266,38114265.089999996,74.2,74.6,43073.682715999996,54.0,50.9,52.388,51.9
6117036,118502,10263055,16498593,-1.18,12.8,32407732359.04,26879165616.47,594687181395.96,5.6,557458.2,0.12044090062350107,37380263.35999999,74.2,74.7,43154.759483,52.0,51.9,51.948,50.6
7537776,145247,13805415,21488438,-0.9,12.6,32720606945.84,26147197820.79,597058455959.46,7.4,555578.7,-0.3371553239328079,37865728.849999994,76.1,76.5,44531.0773389,51.6,53.1,52.38,52.8
7580645,124147,13481186,21185978,-0.59,12.4,32907499780.29,25902283890.88,598268679643.18,7.3,528871.2,-4.807149734142076,39008926.43,76.7,77.8,44369.768664799994,60.1,54.9,57.396,55.7
6178787,119094,11205933,17503814,0.05,12.2,33110512901.38,25490330190.21,598906862800.53,7.7,549304.7,3.863606110523697,39336272.02,76.6,78.2,46748.635526722006,58.6,53.9,56.156,56.0
6848558,114263,12848771,19811592,0.43,12.0,33425281695.39,25221853090.04,600289823480.03,6.3,566209.3,3.077454097880483,39826888.26,77.5,79.1,45077.454427000004,61.2,58.7,59.900000000000006,56.6
6729697,123761,12173823,19027281,0.75,11.8,33649850429.21,24675817241.51,601980880051.59,6.5,588892.8,4.006204066234871,39606125.910000004,80.0,80.8,47695.268890964995,60.6,58.4,59.456,58.2
5972410,114136,10684638,16771184,0.95,12.2,33706120907.02,24320899311.41,602057408462.57,4.5,555644.6,-5.645883257530074,39369163.58,83.4,81.8,49730.920964,61.5,60.8,61.135999999999996,59.0
5308797,102223,9914946,15325966,1.06,12.6,34107444831.37,24032302181.97,603187307413.67,3.9,528905.5,-4.8122666898949396,38836387.49,82.1,80.6,44870.7940023199,61.7,60.3,60.971999999999994,58.9
6624642,120509,11212907,17958058,0.94,13.1,34384383646.03,23723145776.11,604855525885.74,8.7,560120.7,5.901848250774468,40545594.160000004,82.5,81.7,46454.293309,59.9,61.4,60.68,59.1
5601874,113826,10430281,16145981,1.41,12.9,34650951289.43,23608060551.91,606143266124.01,5.5,559359.8,-0.13584572039560525,39430431.29,82.3,82.0,42911.37553399999,60.4,58.4,59.36,56.9
5089887,105885,9106673,14302445,1.05,12.7,34908926087.01,23147513189.86,607960516040.31,3.7,547016.5,-2.2066834263027206,38154686.32,82.9,82.3,44729.121436999994,55.5,53.8,54.616,55.5
7426641,153598,13638412,21218651,1.2,12.4,35185479475.05,23190063934.72,610449580508.98,5.5,580697.8,6.1572731352710655,38114265.089999996,79.3,79.7,46127.31915899999,48.8,50.0,49.424,49.7
6930882,146118,12697950,19774950,1.26,12.3,35455186307.18,22895416277.79,612223534964.51,4.9,583054.8,0.4058909815053544,37380263.35999999,80.9,81.3,44424.6849269473,46.8,48.5,47.684,50.2
7852693,152031,14727860,22732584,1.34,12.1,35765171399.02,22710220241.4,614815628527.5,6.3,582756.7,-0.051127269683757526,37865728.849999994,79.3,79.6,45205.003091,54.6,53.3,53.924,53.3
7083450,145991,13364558,20593999,1.33,11.9,35999621032.62,22628566660.7,617252376526.49,5.8,556776.6,-4.458138362029983,39008926.43,79.8,80.9,44054.82130699999,52.6,51.3,51.924,52.9
7772671,149307,14824092,22746070,1.38,11.7,36337262323.05,22198713643.6,619264152485.03,8.3,591983.9,6.323415890682196,39336272.02,81.0,82.5,45943.45815619301,56.3,51.8,53.959999999999994,53.7
7962269,151975,16005143,24119387,1.37,11.6,36624680784.33,21609032273.14,621557483823.38,6.2,593926.9,0.3282183856689346,39826888.26,83.7,85.3,47665.5522695765,68.3,63.1,65.596,63.4
6855477,136947,13629098,20621522,1.26,11.6,36878798430.47,20921058596.34,623861769983.24,6.0,603155.2,1.5537770725656523,39606125.910000004,84.3,85.2,47233.3446054515,64.0,61.2,62.544,63.9
6645740,132193,13261785,20039718,1.13,12.0,43931441106.05,20512326542.37,623055212465.65,8.0,578452.6,-4.095562800420187,40033265.79,86.1,84.5,53103.613862,64.5,65.4,64.968,64.6
6596965,131941,13016984,19745890,1.35,12.4,44195302177.34,21293959204.75,626262060730.25,4.5,567984.5,-1.8096729101053355,39126855.43999999,85.8,84.3,47109.5199733851,63.7,63.5,63.596000000000004,64.6
6841710,142161,13257066,20240937,1.21,12.7,44447955971.9,21028520382.35,628948623448.68,5.7,579172.6,1.969789668556092,41065355.599999994,82.9,82.1,49768.704279000005,61.1,62.3,61.724000000000004,62.0
6438659,137034,12435572,19011266,0.91,12.5,44736299957.23,20432522518.24,631033294092.07,8.8,592916.0,2.3729368412801337,40646412.05000003,82.8,82.5,47347.279560999996,59.6,55.2,57.312000000000005,58.4
7188188,143371,14101640,21433199,1.57,12.3,44998904131.87,20002510238.87,633135361321.08,5.2,604607.4,1.9718476141645735,39220655.50999998,81.2,80.7,46865.964756,57.0,50.1,53.412000000000006,56.5
7144765,141330,14104676,21390771,1.32,12.0,45350448468.81,19483418592.98,636765930959.8,4.9,598283.0,-1.046034170273143,38162059.58,82.8,83.1,43598.38836499999,54.0,54.4,54.208,56.9
7637624,140406,14354524,22132554,1.28,11.8,45813289465.21,18774904435.09,639277094732.71,5.5,627049.7,4.808209492831979,38466712.919999994,85.3,85.6,44245.3824,56.9,51.6,54.144,57.1
8330530,161490,16343768,24835788,0.98,11.8,46800436338.31,18876109888.21,640618960439.44,5.6,616157.6,-1.7370393447281733,38997056.05000001,87.4,87.6,44866.03463999999,55.9,58.9,57.459999999999994,59.4
8800955,173086,16606116,25580157,1.08,11.8,46950605700.47,18186691019.08,644581243523.32,4.6,614187.9,-0.3196747066010309,38989724.65000001,86.6,87.6,45408.852,55.3,57.9,56.652,59.5
9160527,167025,17346226,26673778,1.02,11.6,47296252884.21,17947172226.83,648499483615.67,8.0,641340.1,4.420829521389131,40347225.99,86.6,88.2,48670.277760000004,58.7,57.2,57.92,59.3
9073670,170865,17581630,26826165,0.94,11.2,47693029713.0,16782439967.83,652911151484.0,4.4,634826.2,-1.0156701569105102,40357267.091000035,87.9,89.4,46899.78480000001,59.8,62.1,60.995999999999995,62.5
8564529,144774,15734906,24444209,0.99,11.0,47903307606.38,15380274295.08,656339934811.27,4.3,646343.1,1.8141815822976466,39824187.46,91.3,92.1,48426.17136,58.0,67.8,63.096000000000004,64.3
8109848,174276,16828897,25113021,0.91,11.2,47916587779.58,14519550807.77,658320807251.79,2.6,617701.0,-4.431408024623451,41184302.53,95.8,94.2,50862.73415999999,63.9,64.5,64.21199999999999,65.3
8319920,158709,16320927,24799556,0.73,11.6,48218881495.8,14150434329.43,661279543888.7,3.6,609810.8,-1.277349397200256,40750716.71999998,94.3,92.8,47820.78192,60.9,63.6,62.304,64.7
5643137,121766,10932815,16697718,0.75,12.2,48334275499.85,14048175690.72,665852613224.91,4.3,616351.2,1.0725293812441345,40989914.14,91.6,90.8,49069.64952,53.1,60.2,56.792,60.3
7702277,118870,13847951,21669098,-0.51,12.6,48883554406.29,14200944590.24,672392559354.27,3.1,545941.7,-11.423600700379914,37130625.61,65.2,65.0,41010.9912,31.0,34.0,32.56,34.5
7285316,153342,14454565,21893223,-2.11,12.9,49449496702.53,14265753487.74,679135008080.17,3.1,559345.4,2.455152262595085,36105010.22999998,68.4,68.0,41437.504080000006,30.1,31.9,31.036,34.7
11289412,182843,21134965,32607220,-2.52,13.3,50067997026.86,14284440140.89,684957817428.78,3.4,603472.6,7.889078912600328,35652387.37999998,76.8,77.1,41156.5032,39.2,41.3,40.292,41.2
14516814,236782,27097717,41851313,-3.06,13.8,50651381827.39,14165512439.27,691924411046.78,2.5,630869.3,4.539841576900106,37745555.62900001,83.2,83.7,45822.88892,47.2,47.3,47.251999999999995,47.6
11713475,210921,22059317,33983713,-3.35,14.4,51060286364.23,13820305507.36,699589033034.35,3.0,628818.8,-0.325027703836595,39121516.11999999,87.5,87.8,45954.34779666667,58.1,58.2,58.152,57.0
10635364,229234,21341217,32205815,-3.56,14.6,51522896926.57,13404381179.64,706715779991.0,3.5,632047.2,0.5134070419014042,40208560.09899998,90.5,91.5,46045.04055972222,63.0,63.1,63.05200000000001,61.6
11688385,213752,21847140,33749277,-3.94,14.3,52018496842.57,13292683139.35,714347011104.98,4.5,660199.5,4.454145196751137,42450637.790000014,93.7,95.2,46098.05627303241,56.7,62.8,59.872,61.8
11337980,237001,22187188,33762169,-4.06,14.1,52619100699.77,13281229250.14,722173006115.53,4.0,666928.9,1.0192979546334135,41008278.12999999,92.2,93.8,45883.70448245177,61.1,64.6,62.92,62.9
10198238,202845,21089020,31490103,-3.99,13.9,53343323835.05,12924069351.03,730932992931.82,5.2,676371.9,1.4158930584654525,41873987.120000005,93.1,93.9,45799.03112265608,64.0,64.3,64.156,63.1
