Data PIB(milhões-Reais)
2009.12	313.522,8000
2010.01	288.972,8000
2010.02	285.723,2000
2010.03	311.651,6000
2010.04	307.083,5000
2010.05	315.988,4000
2010.06	321.023,2000
2010.07	332.454,2000
2010.08	334.225,6000
2010.09	331.255,9000
2010.10	344.963,8000
2010.11	356.707,5000
2010.12	355.797,4000
2011.01	333.255,6000
2011.02	334.982,0000
2011.03	347.879,6000
2011.04	349.049,3000
2011.05	366.256,2000
2011.06	370.951,2000
2011.07	373.143,3000
2011.08	376.769,3000
2011.09	361.724,6000
2011.10	378.491,0000
2011.11	389.560,8000
2011.12	391.595,1000
2012.01	367.215,4000
2012.02	367.177,3000
2012.03	392.996,5000
2012.04	381.795,3000
2012.05	400.281,3000
2012.06	398.714,5000
2012.07	414.617,4000
2012.08	419.906,3000
2012.09	393.524,7000
2012.10	422.672,1000
2012.11	423.816,4000
2012.12	423.195,9000
2013.01	414.131,8000
2013.02	398.645,4000
2013.03	427.409,8000
2013.04	438.856,8000
2013.05	439.054,2000
2013.06	442.857,0000
2013.07	458.458,9000
2013.08	452.862,2000
2013.09	438.766,7000
2013.10	466.166,0000
2013.11	465.693,8000
2013.12	473.552,5000
2014.01	455.935,0000
2014.02	450.358,8000
2014.03	462.159,8000
2014.04	468.767,5000
2014.05	473.347,1000
2014.06	458.516,5000
2014.07	481.994,0000
2014.08	477.052,9000
2014.09	476.520,6000
2014.10	493.304,7000
2014.11	489.484,4000
2014.12	499.867,7000
2015.01	472.913,9000
2015.02	460.156,7000
2015.03	501.752,2000
2015.04	486.614,6000
2015.05	483.239,7000
2015.06	486.647,5000
2015.07	502.275,2000
2015.08	492.505,7000
2015.09	496.004,7000
2015.10	518.828,9000
2015.11	513.819,8000
2015.12	521.918,7000
2016.01	490.284,0000
2016.02	491.011,7000
2016.03	516.985,9000
2016.04	508.058,7000
2016.05	513.267,5000
2016.06	536.459,3000
2016.07	532.947,8000
2016.08	534.761,8000
2016.09	509.975,0000
2016.10	525.162,7000
2016.11	541.530,7000
2016.12	565.780,5000
2017.01	526.564,7000
2017.02	514.120,5000
2017.03	544.312,9000
2017.04	525.238,1000
2017.05	548.887,7000
2017.06	556.787,6000
2017.07	557.458,2000
2017.08	555.578,7000
2017.09	528.871,2000
2017.10	549.304,7000
2017.11	566.209,3000
2017.12	588.892,8000
2018.01	555.644,6000
2018.02	528.905,5000
2018.03	560.120,7000
2018.04	559.359,8000
2018.05	547.016,5000
2018.06	580.697,8000
2018.07	583.054,8000
2018.08	582.756,7000
2018.09	556.776,6000
2018.10	591.983,9000
2018.11	593.926,9000
2018.12	603.155,2000
2019.01	578.452,6000
2019.02	567.984,5000
2019.03	579.172,6000
2019.04	592.916,0000
2019.05	604.607,4000
2019.06	598.283,0000
2019.07	627.049,7000
2019.08	616.157,6000
2019.09	614.187,9000
2019.10	641.340,1000
2019.11	634.826,2000
2019.12	646.343,1000
2020.01	617.701,0000
2020.02	609.810,8000
2020.03	616.351,2000
2020.04	545.941,7000
2020.05	559.345,4000
2020.06	603.472,6000
2020.07	630.869,3000
2020.08	628.818,8000
2020.09	632.047,2000
2020.10	660.199,5000
2020.11	666.928,9000
2020.12	676.371,9000
2021.01	634.416,1000
2021.02	641.460,2000
